date,symbol,price,position,gross_return,cost,net_return,turnover
2021-03-22,GC=F,1737.800048828125,-0.731458230111201,0.0015121349107706937,1.1950612146137242e-06,0.00151093984955608,0.00597530607306862
2021-03-23,GC=F,1724.699951171875,-0.8006942493760043,0.0060358916819554026,1.3847203852960655e-05,0.006022044478102442,0.06923601926480327
2021-03-24,GC=F,1732.9000244140625,-0.7941577027381479,-0.0037758169610171456,1.3073093275712822e-06,-0.003777124270344717,0.006536546637856411
2021-03-25,GC=F,1724.9000244140625,-0.7856721545324071,0.003627085895151106,1.6971096411481534e-06,0.0036253887855099576,0.008485548205740767
2021-03-26,GC=F,1732.199951171875,-0.8089117262917153,-0.0034233847016560508,4.6479143518616266e-06,-0.0034280326160079123,0.02323957175930813
2021-03-29,GC=F,1712.0999755859375,-1.0,0.011603727140356623,3.821765474165695e-05,0.011565509485614967,0.19108827370828474
2021-03-30,GC=F,1683.9000244140625,-0.9585503471693126,0.015788256159928744,8.289930566137471e-06,0.015779966229362608,0.041449652830687356
2021-03-31,GC=F,1713.800048828125,-0.8910676984379302,-0.015822166133139273,1.3496529746276487e-05,-0.01583566266288555,0.06748264873138243
2021-04-01,GC=F,1726.5,-0.8226979051052729,-0.0060965240555252,1.3673958666531473e-05,-0.006110198014191731,0.06836979333265736
2021-04-05,GC=F,1727.0,-0.8315280328806021,-0.0002408132154303155,1.7660255550658422e-06,-0.00024257924098538135,0.00883012777532921
2021-04-06,GC=F,1741.5,-0.8326062020571132,-0.006990613740491047,2.1563383530223136e-07,-0.006990829374326349,0.0010781691765111567
2021-04-07,GC=F,1740.0999755859375,-0.8673109642950596,0.0006972475019220236,6.9409524475892775e-06,0.0006903065494744343,0.034704762237946385
2021-04-08,GC=F,1756.800048828125,-1.0,-0.009597191814547434,2.653780714098808e-05,-0.009623729621688422,0.1326890357049404
2021-04-09,GC=F,1743.300048828125,-1.0,0.007684426015928891,0.0,0.007684426015928891,0.0
2021-04-12,GC=F,1731.199951171875,-0.9801281950591961,0.006802986602238977,3.9743609881607744e-06,0.006799012241250816,0.019871804940803872
2021-04-13,GC=F,1746.199951171875,-0.959818074275695,-0.008316353696977443,4.062024156700228e-06,-0.008320415721134143,0.02031012078350114
2021-04-14,GC=F,1734.9000244140625,-0.9438574179519548,0.006107845602399395,3.192131264748044e-06,0.006104653471134647,0.01596065632374022
2021-04-15,GC=F,1765.4000244140625,-0.9273657901395589,-0.01630333517852672,3.2983255624791763e-06,-0.0163066335040892,0.01649162781239588
2021-04-16,GC=F,1779.0,-0.8432169231862376,-0.006495824974732481,1.682977339066425e-05,-0.0065126547481231456,0.08414886695332124
2021-04-19,GC=F,1769.4000244140625,-0.8334154437681491,0.004497340029858042,1.9602958836177023e-06,0.0044953797339744245,0.00980147941808851
2021-04-20,GC=F,1777.300048828125,-0.827248745898775,-0.0036935035599239534,1.2333395738748366e-06,-0.0036947368994978283,0.0061666978693741825
2021-04-21,GC=F,1792.300048828125,-0.8266155992216366,-0.006976443846102472,1.2662933542766374e-07,-0.0069765704754379,0.0006331466771383187
2021-04-22,GC=F,1781.199951171875,-0.8355627057470408,0.005174818601258726,1.7894213050808407e-06,0.005173029179953646,0.008947106525404203
2021-04-23,GC=F,1777.0,-0.8224084427583233,0.0019391844810293375,2.630852597743516e-06,0.001936553628431594,0.01315426298871758
2021-04-26,GC=F,1779.199951171875,-0.8279172840396631,-0.0010249733254015098,1.1017682562679765e-06,-0.0010260750936577777,0.005508841281339882
2021-04-27,GC=F,1778.0,-0.8298258221579248,0.0005596619239421327,3.817076236523276e-07,0.0005592802163184804,0.0019085381182616379
2021-04-28,GC=F,1773.199951171875,-0.8759994536115658,0.002364926968923672,9.234726290728212e-06,0.0023556922426329436,0.04617363145364106
